player,forehand_winner_per,backhand_winner_per,forehand_unforced_error_per,backhand_unforced_error_per,net_per,net_point_direct_win_per,net_point_winning_per,net_point_error_per,passing_per,winner_per,err_per,pts_won_Ite_3_shots_per,shots_in_pts_won_per,shots_in_pts_lost_per,shots_in_won_vs_lost_ratio,inside_in_per,inside_out_per,Counter Puncher,Attacking Baseliner,All-Court Player,Solid Baseliner
Aaron Krickstein,4.99,3.69,7.72,8.9,9.03,31.96,5.21,42.65,12.25,25.51,28.176666666666662,25.73,43.51,56.49,0.78,2.1,8.72,0.0003703907459426983,99.99533404253155,0.0042891205970029996,6.4461254554551495e-06
Adam Pavlasek,10.28,3.74,7.48,6.54,29.91,33.33,19.63,50.0,25.0,29.69,31.78,30.82,60.0,40.0,1.5,2.15,12.37,3.4033577606048675e-07,8.876977861036025,3.998631391589464e-06,91.12301779999673
Adrian Mannarino,4.95,3.48,9.87,7.11,11.77,46.86,7.72,53.49,11.81,24.208,33.81099999999999,34.81,52.36,47.64,1.16,0.48,5.45,9.043304051872064e-05,99.90519203174371,0.09470405017960659,1.3485036091669249e-05
Adriano Panatta,8.19,5.17,9.05,7.76,46.98,34.0,21.55,50.46,6.0,33.0,34.48,24.89,40.0,60.0,0.67,0.0,6.03,1.0019366387706606e-09,0.00011987551391606236,8.597095477917177e-11,99.99988012339828
Agustin Calleri,10.8,6.82,11.36,15.91,27.84,60.71,15.91,53.06,0.0,43.75,44.89,21.24,38.64,61.36,0.63,1.23,11.55,0.00012992377997558357,99.56911784636915,0.3369168527995142,0.09383537705149907
Agustin Velotti,3.74,2.8,5.61,2.8,4.67,50.0,3.74,20.0,0.0,16.67,21.5,27.76,59.89,40.11,1.49,2.94,11.18,0.009861076442103326,99.99010014377457,3.603564945445147e-05,2.7441337640950907e-06
Albert Montanes,8.76,3.22,13.17,6.27,4.15,83.33,2.92,35.56,18.8,36.11,31.23333333333333,22.22,37.83,62.17,0.63,5.75,12.52,0.43589848030229794,99.56409977185754,1.6774264022529042e-06,7.041379710545987e-08
Albert Ramos,8.93,2.26,11.59,7.72,7.88,64.81,5.16,37.24,1.78,26.775,33.98,36.33,49.9,50.1,1.04,1.45,9.09,0.07433600059472131,99.92541488080148,0.0002487972545525328,3.2134919408366345e-07
Alberto Berasategui,11.4,3.95,19.3,9.21,9.65,56.25,7.02,50.0,14.81,33.98,39.04,15.02,44.88,55.12,0.81,5.03,23.89,99.455405628038,0.5445904390646854,3.931330247453616e-06,1.5668898870016906e-09
Alejandro Falla,5.45,3.25,8.29,7.47,12.59,40.08,6.92,55.51,12.3,23.74333333333333,34.78333333333333,40.77,45.04,54.96,0.82,0.54,9.64,6.77866463852753e-06,99.90782383725148,0.09216169447460397,7.689609265137033e-06
Aleksandre Metreveli,7.95,2.27,8.52,10.23,17.61,50.0,11.36,58.06,15.38,30.67,31.25,37.16,46.61,53.39,0.87,4.63,5.79,2.7057972537665954e-06,99.97742927284769,0.019784380606279333,0.002783640748633695
Alex Corretja,6.6,5.38,7.35,9.15,11.12,62.01,6.99,41.51,13.4,29.08833333333333,29.421666666666667,27.9,49.76,50.24,1.04,2.07,9.99,2.3099892507414674e-05,99.97443717123046,0.025528517109661284,1.1211767394834855e-05
Alex De Minaur,6.22,2.65,9.13,8.0,12.9,56.86,9.15,46.61,9.53,21.135,31.265833333333333,25.62,49.7,50.3,1.0,0.83,10.66,0.0007252638644108545,99.99581054068287,0.0032175337247105753,0.00024666172803726374
Alex Kuznetsov,11.01,2.75,19.27,8.26,14.68,77.78,8.26,50.0,0.0,40.43,42.2,36.72,39.62,60.38,0.66,0.65,11.11,88.94416102430593,11.055683338604261,0.00015497657646803843,6.605132027531981e-07
Alex Molcan,6.28,3.18,9.41,6.82,14.01,46.66,9.56,50.26,5.17,29.15,30.8,34.4,40.68,59.32,0.7,0.89,7.58,0.0018878475516136775,99.99024064815075,0.007476238658583588,0.00039526563908796756
Alexander Bublik,7.02,3.54,5.87,6.91,17.46,44.79,11.23,44.38,16.77,38.236,29.671,40.66,50.19,49.81,1.05,0.48,3.62,2.3501228978362113e-08,99.98388466231671,0.00041920095481992234,0.015696113227282097
Alexander Vasilenko,4.26,3.19,6.38,7.45,7.45,25.0,4.26,57.14,0.0,21.62,25.53,37.64,42.94,57.06,0.75,0.56,10.61,0.00012969621778730295,87.75924069813476,12.240628985553856,6.200935706431746e-07
Alexander Volkov,2.38,1.79,9.52,7.74,21.43,27.78,10.71,72.22,2.78,21.43,35.71,40.44,42.45,57.55,0.74,0.79,7.11,1.7643878456026173e-05,77.1197602825508,22.872752368708397,0.007469704862226628
Alexander Zverev,6.27,4.31,8.82,7.69,11.51,60.24,7.14,46.57,11.05,30.73666666666667,33.62592592592593,37.03,46.9,53.1,0.94,0.79,9.53,2.685488154766045e-05,99.97152125644726,0.028446179039192047,5.709632072290702e-06
Alexandr Dolgopolov,9.34,5.41,8.12,9.6,9.01,71.59,6.56,34.57,19.24,38.173125000000006,33.79375,39.39,51.88,48.12,1.15,0.76,10.33,2.401047470272388e-06,99.99858145781259,0.0014155772810035881,5.63859000832182e-07
Alexandre Penaud,6.9,4.31,13.79,9.48,4.31,50.0,3.45,40.0,0.0,25.0,29.31,18.38,40.4,59.6,0.68,0.68,12.16,94.06972017036426,5.928835946045618,0.0014438800657118958,3.5244972967419287e-09
Alexei Popyrin,7.34,3.58,10.7,8.1,16.88,59.22,9.77,43.09,14.52,29.245000000000005,33.56,43.76,45.0,55.0,0.84,3.12,11.85,0.007301252880874968,99.98993533913858,0.0024313285440089624,0.00033207943651522305
Aljaz Bedene,6.92,1.89,10.32,7.82,6.36,52.3,4.18,37.14,6.62,26.61777777777778,33.95722222222222,34.18,46.11,53.89,0.88,2.37,12.84,0.006294416897769871,99.99349766232724,0.0002077876425685752,1.3313244722594698e-07
Andre Agassi,6.88,4.79,6.55,7.1,8.93,55.84,6.26,45.77,12.27,28.68312499999999,32.06350000000002,36.81,53.89,46.11,1.24,1.38,7.97,3.835686810667589e-07,99.97197684888019,0.028021921335875923,8.46215238102733e-07
Andreas Seppi,6.81,3.16,8.97,9.72,6.93,72.08,4.49,39.03,9.01,27.007142857142856,31.26928571428571,34.9,45.84,54.16,0.9,1.14,10.22,0.0004914363431490528,99.98907885214476,0.01042947564245937,2.3586969191720642e-07
Andrei Chesnokov,6.37,4.74,4.66,7.34,14.43,47.14,9.82,49.93,10.17,23.646666666666665,27.64333333333333,29.21,53.41,46.59,1.17,0.13,9.12,2.4746010908549743e-07,99.90987001537991,0.08926421323473446,0.0008655239253023464
Andrei Medvedev,8.2,4.83,9.18,8.42,15.7,55.92,10.71,47.66,13.79,30.108000000000004,33.338,17.91,52.22,47.78,1.21,0.77,7.03,4.7221040007764206e-05,99.99702370937415,0.001258305842092064,0.0016707637437523818
Andrei Pavel,5.17,7.61,5.84,7.42,15.04,43.0,11.5,38.64,5.82,34.295,30.07,41.03,53.6,46.4,1.18,0.8,8.94,6.936422920232211e-06,99.3505317423722,0.6492801142287085,0.00018120697623506216
Andrey Golubev,11.18,3.29,8.55,11.18,4.61,75.0,2.63,42.86,66.67,38.16,30.26,40.76,50.51,49.49,1.02,1.91,16.56,5.488194141975554e-09,99.99998562875977,1.4282970999207392e-05,8.278110256637631e-08
Andrey Kuznetsov,8.18,6.16,8.0,6.01,7.68,68.75,5.69,41.36,25.1,34.555,29.18,36.37,56.2,43.8,1.46,1.15,9.2,7.474302058973446e-06,99.99160820863874,0.008383543226146066,7.738330105170356e-07
Andrey Rublev,7.24,3.25,7.91,6.03,8.28,52.28,5.34,47.35,7.48,28.417500000000004,28.615,37.62,50.7,49.3,1.11,2.29,13.96,0.00011647594769880744,99.95946943652608,0.04041303133310776,1.056193202173206e-06
Andy Murray,6.72,4.61,7.57,7.81,10.27,58.16,7.12,41.09,12.1,30.14253968253969,32.086587301587315,29.99,51.31,48.69,1.13,0.62,8.99,6.293497868114814e-06,99.99605964094063,0.003926639022566944,7.426538944182346e-06
Andy Roddick,6.18,2.61,7.25,6.2,17.61,43.12,10.02,48.51,11.6,33.038000000000004,31.820499999999992,40.07,44.26,55.74,0.83,2.04,12.24,2.408248048032515e-06,99.99429684157496,0.0018417025740030699,0.0038590476029604684
Arthur Rinderknech,7.09,1.42,7.8,7.09,21.28,31.82,15.6,46.67,12.0,27.69,36.88,44.3,53.81,46.19,1.16,0.44,9.78,1.4255878504028956e-06,99.81248218804745,0.0001652102275660989,0.18735117613704047
Aslan Karatsev,7.6,3.78,8.7,6.89,7.95,67.64,6.18,42.98,26.2,29.13,35.925,40.82,58.4,41.6,1.4,1.19,8.98,2.8080486467235664e-07,99.99930963654137,0.0006897706322347011,3.1202149595889565e-07
Benoit Paire,7.4,6.86,10.73,10.5,14.55,57.95,9.85,39.27,12.48,39.83214285714286,34.13428571428571,35.5,46.1,53.9,0.9,0.27,8.22,0.002789391838676171,99.93653765353281,0.060629731026810754,4.3223601772544375e-05
Bernard Tomic,7.9,3.4,8.36,7.8,6.24,64.15,4.47,39.02,12.09,34.49416666666667,33.282916666666665,40.72,48.63,51.37,1.02,0.88,13.1,1.0323753182626266e-05,99.99731084064587,0.0026787558577491223,7.974318942307103e-08
Bjorn Borg,8.12,7.22,6.44,6.47,24.68,46.21,16.07,39.43,14.55,32.60818181818182,27.64454545454545,31.18,56.94,43.06,1.38,0.83,7.33,3.83293371146363e-05,94.4007223257101,0.002230554384511289,5.597008790568301
Blaz Kavcic,4.4,2.2,5.49,8.79,2.2,0.0,1.1,50.0,10.0,21.21,27.47,34.23,45.88,54.12,0.85,0.0,9.27,4.028673507582787e-06,99.87790987895673,0.12208607719930366,1.5170413679780722e-08
Boris Becker,8.07,6.1,4.36,6.26,38.74,30.95,25.84,29.77,10.14,38.24795918367349,30.27510204081632,40.32,54.19,45.81,1.24,0.66,10.79,1.0360119588502845e-10,0.0027006117090509025,3.830691928125968e-10,99.99729938780426
Borna Coric,5.93,3.16,9.88,8.73,10.33,60.02,6.66,42.38,8.05,25.898461538461543,34.32846153846154,36.83,48.95,51.05,1.04,0.91,10.54,0.0010405446231247354,99.97789847404113,0.02105874400671154,2.237328989504658e-06
Brayden Schnur,7.27,3.77,6.76,7.41,12.4,59.51,8.07,47.36,10.78,34.565,29.79,45.62,50.31,49.69,1.04,1.52,18.48,2.0300509670494087e-06,99.60606744387258,0.39391463639631685,1.588968023803891e-05
Brian Teacher,11.11,5.8,2.42,3.86,50.24,24.68,37.2,26.92,6.73,33.93,28.02,33.78,58.17,41.83,1.39,0.0,7.32,6.196077884850108e-17,1.3900271154864685e-09,1.0925600497255537e-19,99.99999999860982
Cameron Norrie,7.87,2.23,12.52,6.89,12.68,69.69,7.02,42.57,9.5,29.556,34.148,38.57,43.82,56.18,0.83,0.44,10.12,0.09801306853773732,99.90161966412374,0.00033968745587861863,2.757988258611273e-05
Carlos Alcaraz,8.57,3.47,9.06,7.33,13.34,51.73,10.2,46.53,18.55,27.115,35.435,37.07,56.08,43.92,1.29,2.19,9.02,9.56879162306074e-06,99.99945078972313,0.00048294500408681436,5.669648105601086e-05
Carlos Berlocq,6.78,3.62,4.64,7.38,10.87,51.0,7.33,39.18,9.76,24.47,29.4225,26.34,51.68,48.32,1.19,1.62,14.52,7.905773142677583e-07,99.99846840997812,0.001490630989094735,4.0168455498030406e-05
Carlos Costa,4.97,2.76,7.73,11.6,16.57,37.5,8.84,53.33,7.69,21.79,34.81,28.56,43.26,56.74,0.76,0.88,9.09,1.0122670210409942e-05,99.83914267819617,0.16042916472198623,0.000418034411585259
Carlos Eduardo Severino,2.65,5.31,11.5,15.93,7.08,50.0,3.54,62.5,0.0,22.73,38.94,22.64,34.11,65.89,0.52,0.81,8.6,9.319557129946439e-05,0.892431293910393,99.10747551048802,3.0301804051015494e-11
Carlos Moya,8.44,3.69,10.28,6.4,15.62,50.58,10.28,48.48,12.18,28.42333333333333,32.505833333333335,32.24,49.36,50.64,1.02,3.76,14.54,0.003877976507157386,99.99431263383624,0.0014100483030916647,0.00039934135348745485
Cedric Pioline,6.17,5.67,6.12,8.88,27.48,33.48,18.12,27.3,10.09,32.405,31.715,42.3,49.1,50.9,1.04,0.34,10.22,0.00014711684058018608,72.56555358357441,0.00022526791844065168,27.434074031666604
Chase Buchanan,5.88,2.52,10.08,9.24,13.45,50.0,8.4,43.75,0.0,20.41,35.29,25.26,43.63,56.37,0.77,0.0,7.07,0.008117780797229688,99.9903683400453,0.0014195921797560756,9.42869777623356e-05
Christian Bergstrom,5.67,4.96,7.09,4.96,17.73,38.1,14.89,28.0,6.25,29.03,26.95,40.46,48.59,51.41,0.95,1.27,7.59,0.00848835510879245,99.8878271160808,4.825245707780406e-05,0.1036362763533503
Christopher Eubanks,14.04,2.7,12.96,7.14,19.76,71.58,13.28,38.2,18.75,47.150000000000006,36.99,45.04,47.58,52.42,0.92,2.72,13.98,0.0031382233416697883,99.98729468817929,4.767267973404468e-07,0.009566611752398374
Christopher Oconnell,2.33,1.16,12.79,3.49,3.49,0.0,1.16,100.0,0.0,16.67,34.88,29.11,38.1,61.9,0.62,3.28,7.38,4.765449793210598e-05,2.9322659877706534,97.06768635768988,4.156510629114733e-11
Corentin Moutet,11.11,5.56,11.11,6.48,9.26,87.5,7.41,20.0,28.57,31.15,32.41,33.64,63.16,36.84,1.71,5.81,11.63,0.022414113387987496,99.97758360586765,4.953176301057539e-07,1.7854268638556352e-06
Cristian Garin,5.98,6.69,6.03,11.06,15.0,50.53,10.25,49.13,19.07,26.10333333333333,34.47666666666667,32.51,57.09,42.91,1.46,1.58,7.17,1.0169471795836355e-07,97.54529896214302,2.454651944166817,4.899199537600843e-05
Damir Dzumhur,6.13,6.09,8.8,11.84,15.81,61.81,9.54,45.11,13.14,28.74374999999999,33.737500000000004,27.19,45.61,54.39,0.88,0.7,9.15,0.00012875237671231685,99.70602097392853,0.2937022043142969,0.0001480693804005516
Dan Goldie,10.93,3.64,4.45,7.29,44.94,29.17,29.15,36.94,5.79,33.91,27.94,42.68,49.18,50.82,0.97,0.0,5.66,4.0125790045558805e-13,3.13242844274065e-06,3.0477971149904624e-14,99.99999686757097
Daniel Cox,5.21,2.08,5.21,9.38,1.04,53.001196581196574,0.0,100.0,15.0,17.54,19.79,24.39,52.08,47.92,1.09,1.37,13.01,1.3039568080908944e-14,0.001131044785675559,99.9988689552144,4.460069182398861e-14
Daniel Gimeno Traver,10.6,3.0,12.36,10.65,8.13,93.33,5.24,27.35,12.39,32.626666666666665,39.46333333333334,24.54,45.83,54.17,0.89,1.98,9.89,0.005627884583175277,99.99437107725493,7.929495994576354e-07,2.452123375847749e-07
Daniel Nguyen,6.88,5.0,13.12,7.5,13.75,76.47,10.62,40.91,16.67,28.57,39.38,23.55,40.91,59.09,0.69,0.72,10.11,0.06830933455846641,99.93155223028923,5.129735517194917e-05,8.713779729230548e-05
Daniel Smethurst,8.9,1.37,10.96,11.64,4.79,40.0,3.42,57.14,13.33,25.37,28.08,28.38,52.89,47.11,1.12,2.78,10.19,0.0033879098831216064,99.6551017943791,0.34151022534597375,7.039176447401559e-08
Daniil Medvedev,5.4,3.79,6.67,6.86,9.41,64.32,6.42,42.23,13.61,27.701,29.882666666666665,35.14,50.56,49.44,1.12,0.45,8.15,1.5477123325671532e-06,99.99169919479071,0.00829187470263792,7.382794345387764e-06
Darian King,5.26,2.63,9.65,6.14,5.26,100.0,2.63,50.0,18.18,21.28,28.07,28.95,40.82,59.18,0.69,0.0,6.06,0.00015917301463465279,99.99558452890345,0.004255887698930171,4.103829919517068e-07
David Ferrer,6.63,2.95,9.72,7.52,8.93,60.39,5.91,42.5,10.49,23.966976744186045,31.33511627906977,26.69,47.18,52.82,0.94,2.42,12.58,0.0033422756036663413,99.99554650915408,0.0011080570612452415,3.158180997491126e-06
David Goffin,7.24,4.12,7.74,7.84,8.43,54.96,5.66,49.91,11.58,29.560625,30.705,35.03,51.45,48.55,1.19,2.18,9.48,7.226479012624843e-06,99.87671620061884,0.12327592410141222,6.488007294107497e-07
David Nalbandian,7.18,4.94,7.81,9.94,13.62,50.09,9.34,49.52,13.66,27.84999999999999,36.44714285714286,33.07,50.05,49.95,1.07,0.9,8.04,1.278746781105841e-06,99.95271073964685,0.04726833684074432,1.964476566162137e-05
David Wheaton,6.9,5.52,2.72,4.58,43.68,27.56,24.82,19.89,3.6,36.6,26.795,42.22,43.86,56.14,0.78,0.0,8.06,2.906596331422228e-12,2.2550771831590122e-05,2.3714191245813145e-14,99.9999774492253
Davide Sanguinetti,4.76,3.74,5.92,10.62,11.36,71.06,5.78,49.84,15.8,22.185,32.379999999999995,29.1,48.8,51.2,0.96,0.55,4.89,1.6557244614518475e-08,99.8908657065077,0.10912672355071168,7.553384410441483e-06
Denis Istomin,7.84,3.35,8.19,6.78,8.15,80.94,5.46,29.87,3.82,36.025714285714294,28.687142857142863,35.49,43.52,56.48,0.8,1.14,9.85,0.00034397402070567853,99.99957141454422,8.129743188347434e-05,3.3140031666359864e-06
Denis Kudla,3.92,4.26,9.18,7.61,8.0,60.95,5.29,42.39,12.12,22.038333333333338,35.86,31.39,49.72,50.28,1.06,0.57,11.39,0.00011979786035777232,99.97147373883573,0.028406222237989925,2.410659457352594e-07
Denis Shapovalov,9.03,3.64,11.06,6.85,12.56,67.63,9.07,37.8,11.71,33.662142857142854,36.05428571428571,43.76,51.65,48.35,1.15,1.46,10.16,0.0016913199016723199,99.99806570664428,0.00023027664861833815,1.2696805361450518e-05
Diego Schwartzman,6.96,3.76,9.94,7.39,6.9,67.77,4.87,42.08,16.87,24.82555555555556,31.192222222222217,29.61,51.04,48.96,1.08,0.67,11.76,0.0010284883226811675,99.99632557643221,0.0026454573328822148,4.779122441486208e-07
Dominic Thiem,8.37,4.35,9.64,7.62,9.74,62.15,6.8,40.28,11.68,32.33551724137931,33.25448275862068,32.85,48.65,51.35,1.02,2.1,11.91,0.00046364328415411253,99.99848725148716,0.0010472043737318774,1.9008549143065768e-06
Dominik Hrbaty,3.86,3.47,9.44,9.36,6.26,58.34,4.18,54.94,19.09,22.01,31.37,30.17,45.26,54.74,0.86,0.46,6.23,4.5349605720931206e-05,99.46687092491756,0.533083523205678,2.0227110275348014e-07
Dominik Koepfer,4.11,3.65,5.94,6.39,7.31,71.43,6.39,25.0,14.29,20.37,28.77,37.68,58.02,41.98,1.38,0.31,8.95,1.297069533301241e-05,99.99966161651824,0.0003218521179922111,3.5606683626621776e-06
Duck Hee Lee,2.0,1.0,8.0,18.0,2.0,53.001196581196574,0.0,100.0,14.29,10.81,42.0,35.89,43.81,56.19,0.78,1.65,11.57,3.263979347387118e-17,4.099540317171974e-05,99.99995900459689,1.8374000055402255e-18
Dudi Sela,4.19,4.57,3.39,4.87,5.34,52.59,4.62,8.33,23.33,19.24,29.73333333333333,36.14,64.48,35.52,2.34,0.32,6.06,1.4198278731583294e-05,99.99997846597158,5.315584296574609e-06,2.0201657397496505e-06
Dusan Lajovic,7.83,3.14,12.08,10.02,10.31,59.08,6.01,60.22,15.0,28.8,34.79857142857143,27.35,41.54,58.46,0.76,1.09,11.78,0.002826935977231635,99.79043745927432,0.2067339467385296,1.65800997482269e-06
Dustin Brown,10.14,6.24,6.77,5.6,33.69,48.57,23.0,35.92,20.21,44.417,29.294000000000004,45.31,52.21,47.79,1.25,1.47,7.48,3.942400508722265e-08,0.2688447275027588,4.299054490917677e-08,99.73115519008269
Eduardo Russi,1.23,4.94,9.88,13.58,17.28,33.33,7.41,57.14,0.0,21.43,29.63,39.16,40.0,60.0,0.67,3.92,11.76,0.0007904995983614411,0.36419175021528594,99.63501760018086,1.5000558367940327e-07
Eduardo Struvay,4.5,4.5,6.31,7.21,23.42,41.67,10.81,38.46,25.0,35.42,28.83,45.9,41.35,58.65,0.7,0.0,2.47,6.094718248208067e-07,99.17930213608426,0.00016859405531903691,0.820528660388524
Egor Gerasimov,6.71,4.26,7.72,8.76,14.08,53.84,10.27,42.31,8.89,29.96333333333334,32.416666666666664,34.48,51.25,48.75,1.06,0.82,9.67,1.5109371123803503e-05,99.98817660735966,0.011629347222227514,0.00017893604697372903
Ernests Gulbis,6.83,5.24,10.69,8.97,8.57,67.97,6.08,37.95,16.69,37.69,36.09818181818181,45.39,47.29,52.71,0.95,0.13,9.11,0.00019230837322815748,99.98405232829795,0.015755221568029675,1.4176083596734022e-07
Evgeny Donskoy,5.48,4.49,9.78,4.86,7.42,73.34,5.44,46.43,44.32,29.3,34.17,48.03,52.5,47.5,1.28,1.02,8.16,1.0770494141560676e-06,99.99899306768457,0.0010054878853164278,3.6738073857041166e-07
Fabio Fognini,8.45,4.23,12.23,10.7,9.77,62.04,7.32,40.81,12.69,30.8975,37.49937499999999,27.77,48.05,51.95,1.0,1.73,12.05,0.01992338306750203,99.97747030042781,0.0026055445881545593,7.719164367918234e-07
Fabrice Santoro,5.0,3.57,2.86,6.43,40.71,43.48,16.43,52.63,6.45,32.0,20.71,26.93,37.9,62.1,0.61,0.49,2.46,4.621331071677919e-13,0.0005885337633694832,9.883751762132909e-09,99.99941145635238
Facundo Arguello,8.11,0.9,18.02,9.01,3.6,50.0,3.6,50.0,12.5,22.22,37.84,29.31,38.73,61.27,0.63,0.0,13.33,98.39474903252501,1.6052359122163444,1.5055077017274847e-05,1.8173618913396138e-10
Farrukh Dustov,3.66,3.17,12.2,5.09,11.25,57.94,5.62,47.7,7.52,24.903333333333336,31.696666666666665,43.81,36.78,63.22,0.59,0.63,8.95,1.1374073734310373,98.82593860711651,0.03664789968834899,6.1197642442074084e-06
Federico Delbonis,9.77,2.11,10.45,10.56,11.15,61.45,7.63,45.65,8.62,29.08428571428572,36.09,30.44,47.05,52.95,0.94,1.75,9.87,0.0003483903659118418,99.99904612061957,0.000599753030868569,5.735983595938778e-06
Federico Gaio,9.38,6.25,17.71,8.33,11.46,42.86,7.29,18.18,11.76,40.54,40.62,42.55,35.09,64.91,0.54,1.19,15.48,99.97650489362054,0.023495105535875402,7.205297907959128e-10,1.2301326800993937e-10
Feliciano Lopez,6.36,3.38,8.09,7.28,22.56,39.79,15.12,33.28,9.78,34.021875,32.318749999999994,40.18,45.02,54.98,0.87,0.8,9.69,0.00047435001198089117,98.77939029947558,3.567417987726762e-05,1.2200996763325411
Felix Auger Aliassime,8.22,3.15,10.36,7.36,11.66,59.73,8.1,47.85,14.53,29.83636363636364,37.75454545454546,35.78,49.14,50.86,1.01,2.09,10.59,3.790073615368549e-05,99.99939586015721,0.0005615819729905291,4.657133577164387e-06
Fernando Gonzalez,10.0,4.12,10.5,5.43,13.92,61.06,9.11,45.27,11.12,36.563750000000006,31.08625,34.02,46.19,53.81,0.97,2.83,14.74,0.006544350211401055,99.99285724699659,0.0004558643095060195,0.00014253848242169485
Fernando Verdasco,9.26,4.02,10.73,7.8,7.88,65.23,5.08,37.67,9.56,35.1625,34.88,33.32,47.17,52.83,0.97,1.49,10.88,0.0014874779828985252,99.99827335498054,0.0002389439576084827,2.2307890297831003e-07
Fernon Wibier,5.71,5.14,4.0,5.71,48.0,26.09,26.29,27.38,7.35,32.05,28.57,43.06,41.82,58.18,0.72,0.0,9.09,1.0877111516497306e-12,1.4203704066697439e-06,2.1486504829117033e-14,99.99999857962845
Filip Dewulf,9.64,4.02,7.63,12.05,13.65,61.54,10.44,47.06,5.56,33.33,35.34,33.76,43.72,56.28,0.78,1.81,9.84,3.2479498712169286e-06,99.98171982972285,0.018245834452750267,3.108787455557774e-05
Filip Krajinovic,6.15,5.6,6.64,10.49,14.52,67.41,10.8,37.65,9.09,28.093333333333334,30.613333333333333,35.22,49.15,50.85,1.03,1.24,9.93,3.2334485991925156e-05,99.8901978610293,0.10956527147142855,0.0002045330132853424
Filippo Volandri,6.41,2.79,8.66,7.6,14.32,54.16,9.84,49.5,15.27,19.98,31.04,24.53,50.27,49.73,1.07,3.18,13.7,0.00030228061223573264,99.99624092706331,0.002815334637394863,0.0006414576870388945
Florian Mayer,4.91,4.02,5.37,6.98,10.49,64.73,6.11,47.68,1.25,25.842,28.414,42.74,44.92,55.08,0.87,0.37,6.96,1.2914492098850555e-06,99.35229633058366,0.6476975279207556,4.850046322291248e-06
Frances Tiafoe,11.82,3.64,9.09,2.73,13.64,81.82,10.0,26.67,9.09,32.26,31.82,42.96,61.49,38.51,1.6,0.0,21.74,0.004344916849410447,99.99544155547511,7.648081671444864e-06,0.00020587959396204286
Francisco Clavet,4.44,2.96,8.89,5.19,8.15,66.67,2.22,54.55,5.41,15.87,27.41,20.04,47.62,52.38,0.91,1.07,8.85,0.0005881602151501349,99.94201081811097,0.05739945434138005,1.5673325537152317e-06
Franco Skugor,3.08,5.38,6.15,8.46,19.23,52.94,13.08,28.0,10.53,29.31,24.62,35.4,36.0,64.0,0.56,0.0,5.2,0.0042461289752801345,99.54346276141564,0.0010334109802561837,0.45125769862877824
Gael Monfils,6.52,4.02,8.22,6.79,9.73,56.58,6.69,37.0,14.64,31.115348837209304,30.845348837209304,34.25,50.6,49.4,1.12,1.22,9.76,5.909467130601631e-05,99.99931609035971,0.0006169176539432683,7.897314999210017e-06
Gavin Van Peperzeel,12.12,1.01,9.09,5.05,28.28,60.0,15.15,25.0,0.0,41.03,32.32,46.7,45.37,54.63,0.83,0.0,12.35,0.0013079185342154715,48.947805330357866,5.951290852337761e-09,51.050886745156774
Gerald Melzer,9.57,6.38,6.38,6.38,10.64,42.86,7.45,60.0,0.0,31.03,32.98,28.72,55.51,44.49,1.25,2.58,6.27,1.066846449421889e-07,99.48004923207925,0.5199498639452393,7.972908565421276e-07
Germain Gigounon,3.47,8.33,11.11,13.19,2.08,100.0,0.69,66.67,20.0,32.73,29.86,29.38,37.58,62.42,0.6,0.78,5.99,5.10190571045754e-08,0.04114445441273377,99.95885549456813,5.3219790791054077e-14
Gianluigi Quinzi,6.5,3.76,8.59,5.23,4.18,83.34,2.33,41.66,11.54,26.755,26.985,28.58,38.79,61.21,0.64,0.68,10.35,0.0009488854570831615,99.99827643163293,0.0007745297990032563,1.5311102010708206e-07
Gilles Muller,9.29,3.94,7.64,7.62,33.6,45.84,23.67,35.64,8.8,41.262,32.965999999999994,38.51,47.27,52.73,0.96,0.35,10.52,1.5337600931895752e-07,0.1885835759451516,1.4751115142365871e-08,99.8114162559277
Gilles Simon,6.92,4.21,7.41,7.35,9.91,53.25,6.74,52.96,15.56,27.152631578947368,29.634210526315798,32.5,54.16,45.84,1.24,0.71,8.45,1.7704670442342916e-06,99.87054749718993,0.12944464891252494,6.083430526439589e-06
Goncalo Oliveira,12.69,2.99,13.43,16.42,11.94,66.67,8.96,37.5,37.5,42.86,38.06,35.36,47.95,52.05,0.92,0.34,9.9,0.0004342142736137501,99.9995125932214,4.2655229326453576e-05,1.0537275677631145e-05
Gonzalo Escobar,12.69,1.52,4.57,2.54,8.12,61.54,6.6,43.75,11.11,31.37,29.95,42.42,68.2,31.8,2.14,4.63,16.67,2.0902102933210463e-08,99.9998924786964,0.00010531479541872214,2.185605957405183e-06
Gonzalo Lama,5.98,0.85,13.68,3.42,1.71,100.0,1.71,0.0,0.0,13.64,30.77,35.0,53.67,46.33,1.16,1.27,15.92,99.65677856519581,0.3432214346811127,3.069281731854129e-11,9.219942013140231e-11
Goran Ivanisevic,6.63,5.27,5.48,6.18,33.12,28.67,22.43,27.1,7.78,44.22588235294117,29.295294117647064,48.37,48.1,51.9,0.96,0.98,9.47,8.163902391061419e-08,0.3769980298875607,8.714858117813558e-08,99.62300180132488
Greg Rusedski,7.82,4.12,3.57,5.99,42.76,28.11,25.93,31.73,10.07,37.66,28.8175,44.46,48.71,51.29,1.0,1.36,9.07,4.236769313748685e-13,6.061392126243411e-05,8.63632516031637e-13,99.99993938607749
